,index,yelpid,reviewid,compound,positive,negative,neutral,review text,timestamp,reviewer name,reviewer id
0,0,Ut9709JWjLlx9CYyTjYYKg,iP-ARrjqnobZSf34oQFJpg,0.7506,0.268,0.064,0.669,"Good weekly Thai food @our Farmer's Market on Thursday's.

Ingredients are fresh and the staff is friendly. The only downside is the wait time...

I...",2017-07-27 12:21:45,Randy W.,-2CainXEr63oltxnExHGgg
1,1,Ut9709JWjLlx9CYyTjYYKg,_odtz8ELynWfQXTdT1oc3Q,0.6542,0.16,0.0,0.84,"I agree with other yelpers saying the wait can be long. We came to order around 11:35, and didn't get our food till 12ish. It's not bad really, it's just if...",2018-03-01 15:43:14,An L.,Nl7_kl_3QbEexPFud0xobg
2,2,Ut9709JWjLlx9CYyTjYYKg,l1zsiDmhiz45pqsouMDTkg,0.7712,0.233,0.0,0.767,Legit ! I wish they had a restaurant because I would be a regular.  The food is delicious.  It's a very small mom and pop operation which sets up a small...,2018-03-20 16:15:59,Michael D.,7ymjgHryA31FIrKsm9KyXA
3,3,UyQiOlHYL6AjMrr_Q8ty1Q,Mebo05nblZ5314uLsDhXaA,0.0,0.0,0.0,1.0,"If you read nothing else. Read this! I will work overtime at my work if I can spend that extra cash on this burger and hot dog!!!

Oh em gee! Just so dang...",2018-08-20 16:22:45,Khashayer M.,9DbqFyZVprElAhDZf4HI5A
4,4,UyQiOlHYL6AjMrr_Q8ty1Q,Z78vucUptlcJbvrwViy2PA,0.0,0.0,0.0,1.0,Two stars for the guacamole in my salad. Literally nothing else was tasty in my Southwest Chicken Salad. Came here after a hike for a filling meal but I'm...,2018-09-08 16:47:24,Tejal K.,1G0EvYpydNI6PbzEMCsSXQ
5,5,UyQiOlHYL6AjMrr_Q8ty1Q,1OlxRwj7JHPBRXiRhFnXjA,0.0,0.131,0.131,0.737,"The food was great as usual however the restaurant was a disaster. Literally every table open was covered in crumbs and/or liquid residue from drinks, and...",2018-08-11 20:27:12,Jaypatrick M.,JRCNRYkJDHU9vAkHyathNw
6,6,kgR9KrpmqrwJeKmyKnEA0Q,UsdPtYjRyD331zvauBRhbw,0.9312,0.387,0.0,0.613,"We had one of our most enjoyable dining experiences with great food and even better service.  Since we were celebrating our anniversary, we wanted more than...",2018-09-17 23:35:27,Marv Q.,F2B-dKx3QUBTMbGyurf4_g
7,7,kgR9KrpmqrwJeKmyKnEA0Q,9UFf6cqtsXMCXIxf0G6MvA,0.2263,0.068,0.0,0.932,"5 star dining experience for a 4 star price. We had the crab cake and half dozen west coast oysters to starts. The crab cake was warm, big, moist, and...",2018-08-29 11:16:23,Isabella C.,Pxtz00WgmEBalguNqSjKYQ
8,8,kgR9KrpmqrwJeKmyKnEA0Q,hoBYc7iuGUFzdVQaU9bdnQ,0.7845,0.273,0.0,0.727,"The Eddie V's chain easily makes my top 3 Steakhouse list. My husband and I always celebrate birthdays and Anniversaries at Steakhouses, and Eddie V's is...",2018-08-14 16:05:22,Michelle H.,CZyAVq-UkZcfXoAIG5GQ7g
9,9,z6ZyXlSfhftN-h7FfAJo6Q,UHOrEpFnxx0KahPE1_7eEg,-0.2331,0.14,0.168,0.692,"I regret taking so long, before giving this place a chance. 
I can't find anything to complain about at all!

This place is the place to go if you're a...",2018-09-04 02:32:01,Jay T.,akCFGWeFBplM1gAPn9WVuA
